央视频道,#genre#
CETV-CECE早期教育,http://27.40.16.69:8114/GD_CUCC/G_CETV-ZQJY-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBZgEcPJzku%2FK%2BhOejG8m3LLDzTKwBfpzpjpJgpyYO6Z%2F&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1714145054552&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=515eb51ce8e2b668&FvSeid=88fe5578af1e3b0b&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=4280&Fsv_chan_hls_se_idx=62&Fsv_TBt=8000472&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CETV-ZQJY-CQ&Fsv_CMSID=GD_CUCC
CETV-CECE早期教育,http://plex.home.yulei.online:9999/udp/226.0.2.99:8704
CETV-CECE早期教育,http://php.jdshipin.com:8880/cqyx.php?id=zaojiaoHD
CETV-1综合教育,http://hwylivehd.centv.cn/cetv1/ypd.m3u8
CETV-2教育教学,http://hwylivehd.centv.cn/cetv2/2020tsytk.m3u8
CETV-3北京地面,http://hwylivehd.centv.cn/cetv3/bjdm.m3u8
CETV-4职业教育,http://hwylivehd.centv.cn/cetv4/zjpd.m3u8


#浙江
CETV-1综合教育,https://itv-v6.myxcwh.com:4399/cn/zj/dx/200.169:5140
CETV-2教育教学,http://hwylivehd.centv.cn/cetv2/2020tsytk.m3u8
CETV-3北京地面,http://hwylivehd.centv.cn/cetv3/bjdm.m3u8
CETV-4职业教育,https://itv-v6.myxcwh.com:4399/cn/zj/dx/200.162:5140
CETV-CECE早期教育,https://tv.myukj.cn/cqyx.php?id=zaojiaoHD
CCTV-4中文国际欧洲,https://itv-v6.myxcwh.com:4399/cn/zj/yd/36378/index.m3u8
CCTV-4中文国际美洲,https://itv-v6.myxcwh.com:4399/cn/zj/yd/36335/index.m3u8
CGTN新闻,https://itv-v6.myxcwh.com:4399/cn/hb/yd/UmaiCHAN63806f4f64099/index.m3u8?m3u8_level=2
CGTN记录,https://itv-v6.myxcwh.com:4399/cn/hb/yd/UmaiCHAN63a15d0ee63f3/index.m3u8?m3u8_level=2
CGTN阿语,https://itv-v6.myxcwh.com:4399/cn/hb/yd/UmaiCHAN638071b0e6a2c/index.m3u8?m3u8_level=2
CGTN俄语,https://itv-v6.myxcwh.com:4399/cn/hb/yd/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN法语,https://itv-v6.myxcwh.com:4399/cn/hb/yd/UmaiCHAN63806fb631afe/index.m3u8?m3u8_level=2
CGTN西语,https://itv-v6.myxcwh.com:4399/cn/hb/yd/UmaiCHAN63806f81c8eb5/index.m3u8?m3u8_level=2

卫视频道,#genre#
#浙江
海峡卫视,https://itv-v6.myxcwh.com:4399/cn/zj/yd/36416/index.m3u8
三沙卫视,https://itv-v6.myxcwh.com:4399/cn/zj/dx/200.175:5140
陕西卫视,https://itv-v6.myxcwh.com:4399/cn/zj/yd/36370/index.m3u8
青海卫视,https://itv-v6.myxcwh.com:4399/cn/zj/yd/36252/index.m3u8
兵团卫视,https://tv.myukj.cn/ysp.php?id=btws

三沙卫视,http://221.4.143.70:8114/GD.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKn28G%2BWQkLi7Q1Mh845gzlZpk5pTBlduEA6C0mU%2FOMOo&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.33&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4233&gAppVersionName=4.2.33&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1715182782124&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=1&gCityCode=DEFAULT&verType=0&Fsv_Tgid=517e5f7d8db637b1&FvSeid=77fd5578ee72f88e&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=8693&Fsv_chan_hls_se_idx=26&Fsv_TBt=4355976&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_SANSHA-HQ&Fsv_CMSID=GD_CUCC
三沙卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000319/1.m3u8
三沙卫视,http://php.jdshipin.com:8880/TVOD/hnyd.php?id=08984400000000060000000000000319
三沙卫视,https://live3.hnntv.cn/srs/tv/ssws.m3u8
东南卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-dongnanstv/1.m3u8
东南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236151/index.m3u8
东方卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-dongfangstv/1.m3u8
东方卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228354/1/index.m3u8?fmt=ts2hls
云南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236234/index.m3u8
云南卫视,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000002000024694
云南卫视,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031120
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
农林卫视,http://php.jdshipin.com:8880/qly.php?id=6335
农林卫视,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226335/index.m3u8
农民卫视,http://111.11.98.205:9900/hls/25/index.m3u8
农民卫视,http://116.131.173.194:809/hls/63/index.m3u8
北京卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-beijingstv/1.m3u8
北京卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228321/1/index.m3u8?fmt=ts2hls
厦门卫视,http://120.210.193.151:8006/120000001002/XMTxmws/index.m3u8
厦门卫视,http://58.248.112.230:8114/GD.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKqGN1tBE%2F%2B5MsxIjF3XUVlNwwU2%2BP7Se%2BeLJsHpsPerh&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.33&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4233&gAppVersionName=4.2.33&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1715183457815&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=1&gCityCode=DEFAULT&verType=0&Fsv_Tgid=517e64c4e841b5c2&FvSeid=77fd5578ee7d88ff&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=18142&Fsv_chan_hls_se_idx=61&Fsv_TBt=2287232&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_XIAMEN&Fsv_CMSID=GD_CUCC
厦门卫视,http://36.248.137.69:60033/tsfile/live/0129_1.m3u8
厦门卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?IAS
吉林卫视,http://120.210.193.151:8006/120000001002/XMTjlwshd/index.m3u8
吉林卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236268/index.m3u8
吉林延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
四川卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-sichuanstv/1.m3u8
四川卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236255/index.m3u8
天津卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdtianjinstv/1.m3u8
天津卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228320/1/index.m3u8?fmt=ts2hls
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.flv
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
宁夏卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/ningxiastv/1.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
安徽卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-anhuistv/1.m3u8
安徽卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228332/1/index.m3u8?fmt=ts2hls
山东卫视,http://120.210.193.151:8006/120000001002/XMTshandongwshd/index.m3u8
山东卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228308/1/index.m3u8?fmt=ts2hls
山东教育卫视,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山西卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.152:9128
山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759
山西卫视,http://live.cooltv.top/tv/tide.php?id=sxiws2
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
黄河卫视,,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
黄河卫视,http://223.10.57.130:8082/udp/239.1.1.2:8002
黄河卫视,http://live.cooltv.top/tv/cutv.php?id=sxhh
广东卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdguangdongstv/1.m3u8
广东卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236262/index.m3u8
大湾区卫视,http://iptv.awenxin.com:8888/udp/239.77.0.215:5146
大湾区卫视,http://alvin.ergotron.net:8000/rtp/239.77.0.215:5146
大湾区卫视,http://alvin.ergotron.net:8000/udp/239.77.0.215:5146
大湾区卫视,http://www.recker.cc:4022/rtp/239.77.0.215:5146
大湾区卫视,http://www.1328099.xyz:9000/rtp/239.77.0.215:5146
大湾区卫视,http://[2409:8087:2801:22:100::4f]/wh7f454c46tw1007731023_-1337288569/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236327/index.m3u8?icpid=88888888&RTS=1717811832&from=5&ocs=2_2409:8087:2801:22:100::6f_80&hms_devid=327&online=1717811832&vqe=3
广西卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/guangxistv/1.m3u8
广西卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236263/index.m3u8
康巴卫视,http://ljiang108.top:8123/udp/239.93.0.41:5140
康巴卫视,http://giwon.ddns.net:5555/udp/239.93.0.41:5140
康巴卫视,http://124.161.116.6:8081/udp/239.11.0.10:5140
新疆卫视,http://qingcheng.pro:7890/udp/238.125.3.174:5140
新疆卫视,http://qingcheng.pro:7890/udp/238.125.7.145:5140
新疆卫视,http://office.gofaraway.top:888/udp/238.125.3.174:5140
新疆卫视,http://office.gofaraway.top:888/udp/238.125.7.145:5140
新疆卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/xinjiangstv/1.m3u8
江苏卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-jiangsustv/1.m3u8
江苏卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228351/1/index.m3u8?fmt=ts2hls
江西卫视,http://120.210.193.151:8006/120000001002/XMTjiangxiwshd/index.m3u8
江西卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230667/1/index.m3u8?fmt=ts2hls
河北卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hebeistv/1.m3u8
河北卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236242/index.m3u8
河南卫视,http://120.210.193.151:8006/120000001002/XMThenanwshd/index.m3u8
河南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236218/index.m3u8
浙江卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-zhejiangstv/1.m3u8
海南卫视,http://120.210.193.151:8006/120000001002/XMThainanwshd/index.m3u8
海南卫视,http://[2409:8087:2801:22:100::1b]/wh7f454c46tw749217990_-1011970999/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236232/index.m3u8?icpid=88888888&RTS=1717811573&from=5&hms_devid=1639&online=1717811573&vqe=3
海南卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000262/1.m3u8
海南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232687/396328931.smil/index.m3u8?fmt=ts2hls
海峡卫视,http://php.jdshipin.com:8880/bestv.php?id=hxwshd4m/4000000
海峡卫视,http://36.248.137.69:60033/tsfile/live/0150_1.m3u8
海峡卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236416/index.m3u8
海峡卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hxws
海峡卫视,http://php.jdshipin.com:8880/fujian.php?id=9
深圳卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdshenzhenstv/1.m3u8
深圳卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228314/1/index.m3u8?fmt=ts2hls
湖北卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hubeistv/1.m3u8
湖北卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228357/1/index.m3u8?fmt=ts2hls
湖南卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-hunanstv/1.m3u8
湖南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228336/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://120.210.193.151:8006/120000001002/XMTgswshd/index.m3u8
甘肃卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236201/index.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏影视文化,http://php.jdshipin.com:8880/xztv.php?id=ys
西藏藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy
贵州卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-guizhoustv/1.m3u8
贵州卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236236/index.m3u8
辽宁卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-liaoningstv/1.m3u8
辽宁卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236161/index.m3u8
重庆卫视,http://120.210.193.151:8006/120000001002/XMTchongqingwshd/index.m3u8
重庆卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232642/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdheilongjiangstv/1.m3u8
黑龙江卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228302/1/index.m3u8?fmt=ts2hls
青海卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/qinghaistv/1.m3u8
青海卫视,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000002000013359
陕西卫视,http://120.87.97.245:8114/GD.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKvTKKoI90D6zih8EBEVuISOoNd58%2BpeLvDCVqfR%2Bz2zC&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.33&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4233&gAppVersionName=4.2.33&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1715182821604&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=1&gCityCode=DEFAULT&verType=0&Fsv_Tgid=517e5fcc899b5974&FvSeid=77fd5578ee739987&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=3141&Fsv_chan_hls_se_idx=28&Fsv_TBt=4357096&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_SHANXI-HQ&Fsv_CMSID=GD_CUCC
陕西卫视,http://ljiang108.top:8123/udp/239.93.0.143:5140
陕西卫视,http://php.jdshipin.com:8880/qly.php?id=5498
陕西卫视,http://voicetest.cl3.sc96655.com/live/sxws_4000.m3u8
陕西卫视,http://58.223.166.35/live3.ngaacdn.sc96655.com/live/sxws_4000.m3u8
陕西卫视,http://101.204.186.103:8000/udp/239.93.0.143:5140
陕西卫视,http://tiger81.i234.me:8888/rtp/239.109.205.66:8464
陕西卫视,http://hy.baojihzjc.com:9001/rtp/239.111.205.35:5140
陕西卫视,http://118.254.201.247:8888/udp/239.76.254.76:9000
陕西卫视,http://118.254.156.162:8888/udp/239.76.254.76:9000
陕西卫视,http://118.254.156.78:8888/udp/239.76.254.76:9000
陕西卫视,http://118.254.157.12:8888/udp/239.76.254.76:9000
