央视,#genre#
天津卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/tianjinstv/1.m3u8
山东卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/shandongstv/1.m3u8
深圳卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/shenzhenstv/1.m3u8
江西卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/jiangxistv/1.m3u8
广东卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/guangdongstv/1.m3u8
山西卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/shanxistv/1.m3u8
重庆卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/chongqingstv/1.m3u8
广西卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/guangxistv/1.m3u8
陕西卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/shanxi1stv/1.m3u8
甘肃卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/gansustv/1.m3u8
宁夏卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/ningxiastv/1.m3u8
青海卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/qinghaistv/1.m3u8
新疆卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/xinjiangstv/1.m3u8
西藏卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/xizangstv/1.m3u8
内蒙古卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/neimenggustv/1.m3u8
云南卫视标清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/yunnanstv/1.m3u8
兵团卫视标清,http://120.210.193.151:8006/120000001002/XMTbtws/index.m3u8
大湾区卫视标清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000011619/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000011619
康巴卫视标清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000005000266002/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266002
农林卫视标清,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000266003/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266003
延边卫视,,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000003000000049/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000049

高清,#genre#
CCTV-1超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/H265-5500k-1080P-cctv1/1.m3u8
CCTV-2超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv2/1.m3u8
CCTV-3高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv3/1.m3u8
CCTV-4高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-4/1.m3u8
CCTV-4 中文国际 欧洲高清,http://117.72.68.25:9930/migu.php?id=cctv4o
CCTV-4 中文国际 美洲高清,http://117.72.68.25:9930/migu.php?id=cctv4a
CCTV-5高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-5/1.m3u8
CCTV5+超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv05plus/1.m3u8
CCTV-6高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv6/1.m3u8
CCTV-7高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-7/1.m3u8
CCTV-8高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv8/1.m3u8
CCTV-9超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv9/1.m3u8
CCTV-10高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-10/1.m3u8
CCTV-11高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-11/1.m3u8
CCTV-12高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-12/1.m3u8
CCTV-13高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-13/1.m3u8
CCTV-14高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-14/1.m3u8
CCTV-15高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-15/1.m3u8
CCTV-16高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV-17高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/SD-4000k-576P-cctv17/1.m3u8
电视指南高清,http://120.210.193.151:8006/120000001002/XMTdszn/1.m3u8
央视精品高清,http://120.210.193.151:8006/120000001002/XMTysjp/1.m3u8
女性时尚高清,http://120.210.193.151:8006/120000001002/XMTnxss/1.m3u8
兵器时代高清,http://120.210.193.151:8006/120000001002/XMTbqsd/1.m3u8
风云足球高清,http://120.210.193.151:8006/120000001002/XMTfyzq/1.m3u8
高尔夫高清,http://120.210.193.151:8006/120000001002/XMTgolf/1.m3u8
央视台球高清,http://120.210.193.151:8006/120000001002/XMTystq/1.m3u8
世界地理高清,http://120.210.193.151:8006/120000001002/XMTsjdl/1.m3u8
怀旧剧场高清,http://120.210.193.151:8006/120000001002/XMThjjc/1.m3u8
风云剧场高清,http://120.210.193.151:8006/120000001002/XMTfyjc/1.m3u8
第一剧场高清,http://120.210.193.151:8006/120000001002/XMTdyjc/1.m3u8
风云音乐高清,http://120.210.193.151:8006/120000001002/XMTfyyy/1.m3u8
CGTN高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-9/1.m3u8
CETV-1高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/jiaoyutv/1.m3u8
CETV-1综合教育高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000002000002652/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000002652
CETV-4职业教育高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031126/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031126
云南卫视高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031120/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031120
湖南卫视超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hunanstv/1.m3u8
北京卫视超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/beijingstv/1.m3u8
浙江卫视超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/zhejiangstv/1.m3u8
江苏卫视超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/jiangsustv/1.m3u8
辽宁卫视超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-liaoningstv/1.m3u8
安徽卫视超清超清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/H265-5500k-1080P-anhuistv/1.m3u8
贵州卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-guizhoustv/1.m3u8
吉林卫视高清,http://120.210.193.151:8006/120000001002/XMTjlwshd/index.m3u8
湖北卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hubeistv/1.m3u8
河北卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hebeistv/1.m3u8
四川卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-sichuanstv/1.m3u8
海南卫视高清,http://120.210.193.151:8006/120000001002/XMThainanwshd/index.m3u8
东南卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-dongnanstv/1.m3u8
河南卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/henanstv/1.m3u8
三沙卫视高清,http://120.210.193.151:8006/120000001002/XMTssws/index.m3u8
厦门卫视高清,http://120.210.193.151:8006/120000001002/XMTxmws/index.m3u8
湖南卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-hunanstv/1.m3u8
东方卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-dongfangstv/1.m3u8
北京卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-beijingstv/1.m3u8
浙江卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-zhejiangstv/1.m3u8
江苏卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-jiangsustv/1.m3u8
天津卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdtianjinstv/1.m3u8
山东卫视高清,http://120.210.193.151:8006/120000001002/XMTshandongwshd/index.m3u8
辽宁卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-liaoningstv/1.m3u8
深圳卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdshenzhenstv/1.m3u8
江西卫视高清,http://120.210.193.151:8006/120000001002/XMTjiangxiwshd/index.m3u8
贵州卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-guizhoustv/1.m3u8
广东卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdguangdongstv/1.m3u8
湖北卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hubeistv/1.m3u8
河北卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hebeistv/1.m3u8
重庆卫视高清,http://120.210.193.151:8006/120000001002/XMTchongqingwshd/index.m3u8
四川卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-sichuanstv/1.m3u8
甘肃卫视高清,http://120.210.193.151:8006/120000001002/XMTgswshd/index.m3u8
东南卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-dongnanstv/1.m3u8
河南卫视高清,http://120.210.193.151:8006/120000001002/XMThenanwshd/index.m3u8
黑龙江卫视高清,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/hdheilongjiangstv/1.m3u8
宁夏卫视高清,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
新疆卫视高清,http://php.jdshipin.com:8880/xjtv.php?id=xjws
西藏卫视高清,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏卫视高清,http://117.72.68.25:9930/xizang.php?id=0
西藏影视文化高清,http://php.jdshipin.com:8880/xztv.php?id=ys
西藏影视文化高清,http://117.72.68.25:9930/xizang.php?id=2
西藏藏语卫视高清,http://php.jdshipin.com:8880/xztv.php?id=zy
西藏藏语卫视高清,http://117.72.68.25:9930/xizang.php?id=1
山西卫视高清,http://live.cooltv.top/tv/tide.php?id=sxiws2
黄河卫视高清,http://live.cooltv.top/tv/cutv.php?id=sxhh
黄河卫视高清,http://live.cooltv.top/tv/tide.php?id=sxhh
海峡卫视高清,https://livednow.com/migu/849119120?sign=gAAAAABmxHgUZpLEgWRH60aJ6PgiMJBm4YyUlfVYpwjcukoQrpcg1pG_9ag2KKH9EIh4jcD9zfLJERiwBNw7shDxsQF93HSYUlNk2fxgLW3__QJKQFlZcJNHTdWcLqIZvavVj3FGWyRs1l3LbxWDu_Xj4hnJLBjH4Fqwvin_LxqXSL6DA1Dng-PbuWQ4G5GylAlTkGCx-_nm9J2B8ZSQPbVEHDrNje868A%3D%3D
陕西卫视高清,http://117.72.68.25:9930/migu.php?id=sxws
陕西卫视高清,https://livednow.com/migu/738910838?sign=gAAAAABmxHgUhxeYhTSN7rcG4rOgDSVInWnnEpNq2J37Qh_Kqrn4UYcrNbjmfdWKFOScOPgjhh3UOT6RrsauRFQsYuOjoe0q0i1AfKN7ZvBJcWc_v-EzYUNCQJ-kHVulF4s0B73rfiVEtvDgwbr4Omyw9Gwurx_sRPoOIowMeTK3Nh1gXNdo0AmiQw-va8CCgYM_SnZblLKdEr0qldd9CabPDAM4HbnjSA%3D%3D
大湾区卫视高清,http://117.72.68.25:9930/migu.php?id=dwqws 
CGTN阿拉伯语高清,https://arabic-liveali.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN西班牙语高清,https://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN法语高清,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN俄语高清,https://russian-liveali.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN纪录高清,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN英语高清,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
兵团卫视高清,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
内蒙古卫视高清,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
内蒙古蒙语卫视高清,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
延边卫视高清,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
陕西卫视高清,https://livednow.com/migu/738910838?sign=gAAAAABmxHgUhxeYhTSN7rcG4rOgDSVInWnnEpNq2J37Qh_Kqrn4UYcrNbjmfdWKFOScOPgjhh3UOT6RrsauRFQsYuOjoe0q0i1AfKN7ZvBJcWc_v-EzYUNCQJ-kHVulF4s0B73rfiVEtvDgwbr4Omyw9Gwurx_sRPoOIowMeTK3Nh1gXNdo0AmiQw-va8CCgYM_SnZblLKdEr0qldd9CabPDAM4HbnjSA%3D%3D
海峡卫视高清,https://livednow.com/migu/849119120?sign=gAAAAABmxHgUZpLEgWRH60aJ6PgiMJBm4YyUlfVYpwjcukoQrpcg1pG_9ag2KKH9EIh4jcD9zfLJERiwBNw7shDxsQF93HSYUlNk2fxgLW3__QJKQFlZcJNHTdWcLqIZvavVj3FGWyRs1l3LbxWDu_Xj4hnJLBjH4Fqwvin_LxqXSL6DA1Dng-PbuWQ4G5GylAlTkGCx-_nm9J2B8ZSQPbVEHDrNje868A%3D%3D
山东教育高清,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
三沙卫视高清,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8
内蒙古新闻综合高清,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活高清,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿频道高清,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐高清,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧频道高清,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙古语文化高清,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
七彩戏剧高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031116/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031116
东方影视高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000010000032212/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000032212
东方财经高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000007000010003/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000007000010003
乐游高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031112/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031112
五星体育高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000010000017540/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000017540
动漫秀场高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031113/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031113
劲爆体育高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000002000029972/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000029972
哈哈炫动高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031123/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031123
国际频道动高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000010000030951/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000030951
新闻综合高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031110/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031110
欢笑剧场高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000002000009455/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000009455
法治天地高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/9001547084732463424/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=9001547084732463424
游戏风云高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031114/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031114
生活时尚高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000002000019634/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000019634
第一财经高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000010000027146/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000027146
纪实人文高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000001000016545/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000016545
魅力足球高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031207/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031207
都市剧场高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031111/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031111
都市频道高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000010000018926/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000018926
金色学堂高清,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000010000026105/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000026105

芜湖,#genre#
安徽经济高清高清,http://120.210.193.151:8006/120000001002/XMTah_jjhd/index.m3u8
安徽影视高清高清,http://120.210.193.151:8006/120000001002/XMTah_yshd/index.m3u8
安徽科教高清高清,http://120.210.193.151:8006/120000001002/XMTah_kjhd/index.m3u8
安徽综艺高清高清,http://120.210.193.151:8006/120000001002/XMTah_zyhd/index.m3u8
安徽公共高清高清,http://120.210.193.151:8006/120000001002/XMTah_gghd/index.m3u8
安徽国际高清,http://120.210.193.151:8006/120000001002/XMTahgj/index.m3u8
安徽导视标清,http://120.210.193.151:8006/120000001002/XMTah_gddspd/index.m3u8
合肥新闻高清,http://120.210.193.151:8006/120000001002/XMThfxw/1.m3u8
芜湖新闻高清,http://120.210.193.151:8006/120000001002/XMTwhxw/1.m3u8
芜湖县新闻高清,http://120.210.193.151:8006/120000001002/XMTwhxxw/1.m3u8
芜湖公共高清,http://120.210.193.151:8006/120000001002/XMTwhgg/1.m3u8
繁昌新闻高清,http://120.210.193.151:8006/120000001002/XMTfcxw/1.m3u8
蚌埠新闻高清,http://120.210.193.151:8006/120000001002/XMTbbxw/1.m3u8
固镇新闻高清,http://120.210.193.151:8006/120000001002/XMTgzxw/1.m3u8
淮南新闻高清,http://120.210.193.151:8006/120000001002/XMThnxw/1.m3u8
马鞍山新闻高清,http://120.210.193.151:8006/120000001002/XMTmasxw/1.m3u8
马鞍山公共高清,http://120.210.193.151:8006/120000001002/XMTmasgg/1.m3u8
淮北新闻高清,http://120.210.193.151:8006/120000001002/XMThbxw/1.m3u8
濉溪综合高清,http://120.210.193.151:8006/120000001002/XMTsxzh/1.m3u8
淮北经济生活高清,http://120.210.193.151:8006/120000001002/XMThbjjsh/1.m3u8
铜陵新闻高清,http://120.210.193.151:8006/120000001002/XMTtlxw/1.m3u8
义安新闻高清,http://120.210.193.151:8006/120000001002//XMTyaxw.m3u8
铜陵教育高清,http://120.210.193.151:8006/120000001002/XMTtljy/1.m3u8
安庆新闻高清,http://120.210.193.151:8006/120000001002/XMTaqxw/1.m3u8
岳西新闻高清,http://120.210.193.151:8006/120000001002/XMTyxxw/1.m3u8
黄山新闻高清,http://120.210.193.151:8006/120000001002/XMThsxw/1.m3u8
太湖新闻高清,http://120.210.193.151:8006/120000001002/XMTthxw/1.m3u8
黄山公共高清,http://120.210.193.151:8006/120000001002/XMThsgg/1.m3u8
屯溪融媒高清,http://120.210.193.151:8006/120000001002/XMTtxrm/1.m3u8
黄山区融媒高清,http://120.210.193.151:8006/120000001002/XMThsqrm/1.m3u8
阜阳新闻高清,http://120.210.193.151:8006/120000001002/XMTfyxw/1.m3u8
阜阳公共高清,http://120.210.193.151:8006/120000001002/XMTfygg/1.m3u8
阜阳教育高清,http://120.210.193.151:8006/120000001002/XMTfyjy/1.m3u8
阜阳都市高清,http://120.210.193.151:8006/120000001002/XMTfyds/1.m3u8
临泉新闻高清,http://120.210.193.151:8006/120000001002/XMTlqxw/1.m3u8
宿州新闻高清,http://120.210.193.151:8006/120000001002/XMTszxw/1.m3u8
滁州新闻高清,http://120.210.193.151:8006/120000001002/XMTchzxw/1.m3u8
滁州公共高清,http://120.210.193.151:8006/120000001002/XMTczgg/1.m3u8
滁州科教高清,http://120.210.193.151:8006/120000001002/XMTczkj/1.m3u8
六安新闻高清,http://120.210.193.151:8006/120000001002/XMTlaxw/1.m3u8
霍邱新闻高清,http://120.210.193.151:8006/120000001002/XMThqxw/1.m3u8
霍山综合高清,http://120.210.193.151:8006/120000001002/XMThszh/1.m3u8
宣城新闻高清,http://120.210.193.151:8006/120000001002/XMTxcxw/1.m3u8
广德生活高清,http://120.210.193.151:8006/120000001002/XMTgdsh/1.m3u8
宁国一套高清,http://120.210.193.151:8006/120000001002/XMTngyt/1.m3u8
池州新闻高清,http://120.210.193.151:8006/120000001002/XMTczxw/1.m3u8
池州文教生活高清,http://120.210.193.151:8006/120000001002/XMTczwjsh/1.m3u8
亳州新闻高清,http://120.210.193.151:8006/120000001002/XMTbzxw/1.m3u8
亳州农村高清,http://120.210.193.151:8006/120000001002/XMTbznc/1.m3u8
利辛综合高清,http://120.210.193.151:8006/120000001002/XMTlxzh/1.m3u8
海南公共,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000057/1.m3u8
海南文旅,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000113/1.m3u8
海南新闻,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000111/1.m3u8
海南自贸,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000116/1.m3u8
海南少儿,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000112/1.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
